username,followers,votes
apptechexec,26,35
julsbindi,26,40
hanzo55,26,48
lhzhong,26,50
busterc,26,52
mrmambwe,26,52
vaclavhodek,26,95
pkalevar,26,106
teddychu,26,107
ethangromet,26,112
moritzs,26,112
ruieduardonunes,26,140
amritpaldesign,26,156
dotajames,26,159
steve_rodriguez,26,249
tazumee,26,275
guvorsch,26,345
derek_t_lo,26,423
iansmith,27,4
connor_g,27,5
rezbrandon,27,6
theorderexpert,27,8
xenocide15,27,10
bryantpeng,27,12
tal4l,27,12
cemckenzie1,27,13
conormn,27,13
troy_carlson,27,13
hypd,27,19
brooklynearick,27,21
alustinight,27,41
alexbeofficial,27,44
mirgehtsganzgut,27,46
borax12,27,50
berkaey,27,58
beaglebets,27,59
nfedoroff,27,61
iam_yeon,27,65
giovapanasiti,27,67
ashleykolodziej,27,71
pjchavarria,27,85
dermerkel,27,92
chadhuber,27,101
qrazhan,27,123
williamb3ntley,27,141
jovanovski,27,153
franzhoffman,27,184
gilbertginsberg,27,190
craigslagel,27,203
akshay2104,27,218
tadwook,27,233
codeclown,27,309
rajahibidyvo,27,309
dennispeterse,27,453
faithforster,28,2
chandraclarke,28,3
robinson_k,28,7
feltron,28,12
ksmolka,28,12
afterdesign,28,14
doriadar,28,24
pawsys,28,26
pdurginbruce,28,26
davisonio,28,38
pepelovesbooks,28,40
rueter,28,44
hellonewman,28,47
davicorn,28,53
eeesong,28,53
bencbernstein,28,54
sevgilifurkan,28,58
htnawsaj,28,59
stewart_cc,28,60
lukaszmtw,28,65
jontomato,28,80
fguilloc,28,90
rfguri,28,109
jonasvig,28,110
davidesquimal,28,111
irv3389,28,127
romilmittal,28,131
smuratkurt,28,146
thelazyguru,28,146
andreitelteu,28,147
acelik,28,219
matt_hefferon,28,295
nillles,28,416
rossodono,28,436
ocorreiododiogo,28,438
nadermx,28,605
mananrokani,28,940
scotthjudson,29,1
michelemusso_,29,2
juusolyytikka,29,6
netxm,29,6
petesivak,29,7
vainu,29,8
